Compound ID,Smiles,pIC50,LogP,MW,nAR,HBA,HBD,nRings,nRB,TPSA
CHEMBL109731,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc2c(c1)CCC(C(=O)O)O2,5.537602002,6.0575,462.542,3,5,1,4,11,74.22
CHEMBL109773,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc2c(c1)OC(CC(C)C)(C(=O)O)CC2,5.920818754,7.4738,518.65,3,5,1,4,13,74.22
CHEMBL109975,CCCc1cc(Oc2ccccc2)ccc1OCCCCOc1ccc2c(c1)OC(C(=O)O)CC2,5.744727495,6.4476,476.569,3,5,1,4,12,74.22
CHEMBL110743,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc2c(c1)OC(CC)(C(=O)O)CC2,6.356547324,6.8377,490.596,3,5,1,4,12,74.22
CHEMBL111077,CCCCCCCCCCCCCC(=O)O,4.677780705,4.7721,228.376,0,1,1,0,12,37.3
CHEMBL111161,CCCc1cc(Oc2ccc(Cl)cc2)ccc1OCCCOc1ccc2c(c1)OC(CC)(C(=O)O)CC2,5.853871964,7.4911,525.041,3,5,1,4,12,74.22
CHEMBL111271,CCCc1cc(Oc2ccc(F)cc2)ccc1OCCCOc1ccc2c(c1)OC(CC)(C(=O)O)CC2,5.920818754,6.9768,508.586,3,5,1,4,12,74.22
CHEMBL112725,CC[C@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(Oc4ccc(F)cc4)cc3Cl)cc2O1,6.585026652,6.6777,500.95,3,5,1,4,10,74.22
CHEMBL112790,C[C@@]1(C(=O)O)CCc2ccc(OCCCOc3ccc(Oc4ccccc4)cc3Cl)cc2O1,5.853871964,6.1485,468.933,3,5,1,4,9,74.22
CHEMBL112973,CCC1(C(=O)O)CCc2ccc(OCCCOc3ccc(Oc4ccccc4)cc3F)cc2O1,5.327902142,6.0243,466.505,3,5,1,4,10,74.22
