Compound ID,Smiles,pIC50,LogP,MW,nAR,HBA,HBD,nRings,nRB,TPSA
CHEMBL182200,CC1(C)CCC(c2ccc(OCCCOc3ccc4c(c3)O[C@@](C)(C(=O)O)CC4)c(Cl)c2)CC1,5.193820026,7.04,487.036,2,4,1,4,8,64.99
CHEMBL182230,CO[C@@H](Cc1ccc(C#CCCCOc2ccc(Oc3ccccc3)cc2)cc1)C(=O)O,8.154964006,5.3317,430.5,3,4,1,3,10,64.99
CHEMBL182884,CO[C@@H](Cc1ccc(OCCCOc2ccc(-c3ccccc3)cc2)cc1)C(=O)O,7.677884121,4.8436,406.478,3,4,1,3,11,64.99
CHEMBL186179,COc1ccc(OC(=O)N(CC(=O)O)Cc2ccc(OCCc3nc(-c4ccccc4)oc3C)cc2)cc1,6.728933228,5.36572,516.55,4,7,1,4,11,111.33
CHEMBL188095,CCCc1cc2c(oc(=O)n2CC)c(CCC)c1O[C@H](C(=O)O)c1ccc(Cl)cc1,6.657577319,5.3775,431.916,3,5,1,3,9,81.67
CHEMBL188751,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(CC(C)C)cc1,6.657577319,6.5875,424.581,2,3,1,2,12,63.6
CHEMBL189066,CCCc1cc(C(=O)CC)cc(C)c1OC(C(=O)O)c1ccc(C(C)C)cc1,6.585026652,5.86832,382.5,2,3,1,2,9,63.6
CHEMBL190169,CCCc1cc2c(=O)n(C3CCCCC3)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,6.356547324,7.3328,493.644,3,5,1,4,10,81.67
CHEMBL190334,CCC1(C(=O)O)Cc2cc(OCCCOc3ccc(CC(C)(C)C)cc3Cl)ccc2O1,5.251811973,5.9448,446.971,2,4,1,3,9,64.99
CHEMBL190665,CCCc1cc(C(=O)CC)cc(CCC)c1OC(C)(C)C(=O)O,5.913640169,4.4263,320.429,1,3,1,1,9,63.6
CHEMBL190739,CCCc1cc2c(OC)noc2c(CCC)c1OC(C)(C)C(=O)O,5.790484985,3.9834,335.4,2,5,1,2,8,81.79
CHEMBL190938,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(C(F)(F)F)cc1,6.677780705,6.4078,436.47,2,3,1,2,10,63.6
CHEMBL190968,CCC1(C(=O)O)Cc2cc(OCCCOc3ccc(C(C)(C)C)cc3Cl)ccc2O1,5.363512104,5.6537,432.944,2,4,1,3,8,64.99
CHEMBL191087,COc1ccc(C(=O)n2c(C)c(Cc3cccc(OCC#N)c3)c3cc(OC(F)(F)F)ccc32)cc1,7.37675071,6.0386,494.469,4,6,0,4,7,73.48
CHEMBL191149,CCCc1cc2c(=O)n(C)oc2c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,6.677780705,5.3646,425.525,3,5,1,3,9,81.67
CHEMBL191235,CCCc1cc(C(=O)C(C)(C)C)cc(CCC)c1OC(C(=O)O)c1ccccc1,5.568636236,6.0251,396.527,2,3,1,2,9,63.6
CHEMBL191276,CCCc1cc(C(=O)CC)cc(CCC)c1O[C@H](C(=O)O)c1ccc(OC(C)C)cc1,6.698970004,6.1762,426.553,2,4,1,2,12,72.83
CHEMBL192152,CCCc1cc2c(C(F)(F)F)noc2c(CCC)c1OC(C)(C)C(=O)O,5.801342913,4.9936,373.371,2,4,1,2,7,72.56
CHEMBL192500,CCCc1cc(SC(F)(F)F)ccc1OCCCOc1ccc2c(c1)CC(CC)(C(=O)O)O2,5.507239611,6.2672,484.536,2,5,1,3,11,64.99
CHEMBL192521,CCCc1cc2c(oc(=O)n2CC(F)(F)F)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,6.958607315,6.3899,493.522,3,5,1,3,10,81.67
CHEMBL192636,CCCc1cc2c(oc(=O)n2CCC)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,7.060480747,6.2376,453.579,3,5,1,3,11,81.67
CHEMBL192646,Cc1c(Oc2cccc(O[C@@H](C)C(=O)O)c2)c2cc(OC(F)(F)F)ccc2n1-c1noc2cc(Cl)ccc12,7.48148606,7.27632,546.885,5,7,1,5,7,95.95
CHEMBL192691,COc1ccc(-n2c(C)c(Cc3cccc(O[C@@H](C)C(=O)O)c3)c3cc(OC(F)(F)F)ccc32)cc1,9,6.28882,499.485,4,5,1,4,8,69.92
CHEMBL192919,Cc1c(Oc2cc(Cl)cc(O[C@@H](C)C(=O)O)c2)c2cc(OC(F)(F)F)ccc2n1-c1noc2cc(Cl)ccc12,6.962573502,7.92972,581.33,5,7,1,5,7,95.95
CHEMBL193082,CCCc1cc2c(oc(=O)n2C(C)C)c(CCC)c1O[C@H](C(=O)O)c1ccc(C(C)C)cc1,7.292429824,6.4085,453.579,3,5,1,3,10,81.67
CHEMBL1933822,CCCCCS(=O)(=O)NC(=O)CCc1cc(OC(C)C)nn1Cc1ccc(C(F)(F)F)cc1Cl,7.677780705,4.9596,524.005,2,6,1,2,12,90.29
CHEMBL1933841,CCCCCS(=O)(=O)NC(=O)/C=C/c1cc(OC(C)C)nn1Cc1ccc(C(F)(F)F)cc1Cl,7.638272164,5.0402,521.989,2,6,1,2,11,90.29
CHEMBL1933842,CC(C)CCS(=O)(=O)NC(=O)/C=C/c1cc(OC(C)C)nn1Cc1ccc(C(F)(F)F)cc1Cl,7.823908741,4.8961,521.989,2,6,1,2,10,90.29
CHEMBL1933845,CCCCCS(=O)(=O)NC(=O)/C=C/c1cc(C2CC2)nn1Cc1ccc(C(F)(F)F)cc1Cl,7.920818754,5.1304,503.974,2,5,1,3,10,81.06
CHEMBL1946566,C[C@@H](Oc1cc(Cn2c(=O)n(Cc3ccc(Cl)cc3)c3ccc(C(F)(F)F)cc32)ccc1Cl)C(=O)O,5.318758763,6.0771,539.337,4,5,1,4,7,73.46
CHEMBL1946567,C[C@@H](Oc1cc(Cn2c(=O)n(C(=O)c3ccc(Cl)cc3)c3ccc(C(F)(F)F)cc32)ccc1Cl)C(=O)O,6.59345982,5.7173,553.32,4,6,1,4,6,90.53
CHEMBL1946568,C[C@@H](Oc1cc(Cn2c(=O)n(-c3ccc(C(C)(C)C)cc3)c3ccc(C(F)(F)F)cc32)ccc1Cl)C(=O)O,6.793174124,6.6621,546.973,4,5,1,4,6,73.46
CHEMBL1946569,C[C@@H](Oc1cc(Cn2c(=O)n(-c3nc4ccc(Cl)cc4s3)c3ccc(C(F)(F)F)cc32)ccc1Cl)C(=O)O,5.862013267,6.6277,582.387,5,7,1,5,6,86.35
CHEMBL1946572,Cc1ccc2onc(-n3c(=O)n(Cc4ccc(Cl)c(O[C@H](C)C(=O)O)c4)c4cc(C(F)(F)F)ccc43)c2c1,7.950781977,5.81422,545.901,5,7,1,5,6,99.49
CHEMBL1946753,Cc1ccc2c(-n3c(=O)n(Cc4ccc(Cl)c(O[C@H](C)C(=O)O)c4)c4cc(C(F)(F)F)ccc43)noc2c1,7.847711656,5.81422,545.901,5,7,1,5,6,99.49
CHEMBL1946754,C[C@@H](Oc1cc(Cn2c(=O)n(-c3noc4ccc(Cl)cc34)c3ccc(C(F)(F)F)cc32)ccc1Cl)C(=O)O,7.450996738,6.1592,566.319,5,7,1,5,6,99.49
CHEMBL1946758,COc1ccc2c(-n3c(=O)n(Cc4ccc(Cl)c(O[C@H](C)C(=O)O)c4)c4ccc(OC(F)(F)F)cc43)noc2c1,8.387216143,5.3942,577.899,5,9,1,5,8,117.95
CHEMBL1946952,COc1ccc2c(-n3c(=O)n(Cc4ccc(Cl)c(O[C@@H](C)C(=O)O)c4)c4cc(C(F)(F)F)ccc43)noc2c1,7.180456064,5.5144,561.9,5,8,1,5,7,108.72
CHEMBL1946953,COc1ccc2c(-n3c(=O)n(Cc4cc(O[C@H](C)C(=O)O)ccc4Cl)c4cc(C(F)(F)F)ccc43)noc2c1,8.040958608,5.5144,561.9,5,8,1,5,7,108.72
CHEMBL1946954,COc1ccc2c(-n3c(=O)n(Cc4cccc(O[C@H](C)C(=O)O)c4)c4cc(C(F)(F)F)ccc43)noc2c1,6.034328029,4.861,527.455,5,8,1,5,7,108.72
CHEMBL1946955,CC[C@@H](Oc1cccc(Cn2c(=O)n(-c3noc4cc(OC)ccc34)c3ccc(C(F)(F)F)cc32)c1)C(=O)O,5.43687504,5.2511,541.482,5,8,1,5,8,108.72
CHEMBL1947139,COc1ccc2c(-n3c(=O)n(Cc4ccc([C@@]5(C)OC(=O)NC5=O)cc4)c4cc(C(F)(F)F)ccc43)noc2c1,5.662141571,4.4907,552.465,5,9,1,6,5,117.59
CHEMBL1947140,COc1ccc2c(-n3c(=O)n(Cc4cccc([C@@]5(C)OC(=O)NC5=O)c4)c4cc(C(F)(F)F)ccc43)noc2c1,7.031517051,4.4907,552.465,5,9,1,6,5,117.59
CHEMBL1947141,COc1ccc2c(-n3c(=O)n(-c4cccc([C@@]5(C)OC(=O)NC5=O)c4)c4cc(C(F)(F)F)ccc43)noc2c1,5.158953535,4.4316,538.438,5,9,1,6,4,117.59
CHEMBL1947142,COc1ccc2c(-n3c(=O)n(Cc4cc([C@@]5(C)OC(=O)NC5=O)ccc4Cl)c4cc(C(F)(F)F)ccc43)noc2c1,8.113509275,5.1441,586.91,5,9,1,6,5,117.59
CHEMBL1947143,COc1ccc2c(-n3c(=O)n(Cc4ccc(Cl)c(O[C@H](C)C(=O)O)c4)c4ccccc43)noc2c1,8.161150909,4.4956,493.903,5,8,1,5,7,108.72
CHEMBL1947144,COc1ccc2c(-n3c(=O)n(Cc4cccc([C@@]5(C)OC(=O)NC5=O)c4)c4ccccc43)noc2c1,7.080398976,3.4719,484.468,5,9,1,6,5,117.59
CHEMBL1947145,C[C@]1(c2cccc(Cn3c(=O)n(-c4noc5cc(Cl)ccc45)c4ccccc43)c2)OC(=O)NC1=O,7.308918508,4.1167,488.887,5,8,1,6,4,108.36
CHEMBL1947146,COc1ccc2c(-n3c(=O)n(Cc4cc(O[C@H](C)C(=O)O)ccc4Cl)c4ccccc43)noc2c1,7.863279433,4.4956,493.903,5,8,1,5,7,108.72
CHEMBL1947147,COc1ccc2c(-n3c(=O)n(Cc4cc([C@@]5(C)OC(=O)NC5=O)ccc4Cl)c4ccccc43)noc2c1,8.004364805,4.1253,518.913,5,9,1,6,5,117.59
CHEMBL194740,O=C(O)c1c(Oc2cccc(C(F)(F)F)c2)c2ccccc2n1-c1ccc(C(F)(F)F)cc1,6.970616222,7.1586,465.349,4,3,1,4,4,51.46
CHEMBL196428,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3ccc(OC(F)(F)F)cc3)c3ccccc32)cc1,7.30980392,7.3171,469.459,4,4,1,4,5,60.69
CHEMBL197636,CC(C)c1cccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3ccccc32)c1,7.22184875,7.2632,439.433,4,3,1,4,5,51.46
CHEMBL197637,CC(C)c1cccc(-n2c(C(=O)O)c(Oc3ccc(C(F)(F)F)cc3)c3ccccc32)c1,6.920818754,7.2632,439.433,4,3,1,4,5,51.46
CHEMBL197671,COc1ccc2c(c1)c(Oc1cccc(C(F)(F)F)c1)c(C(=O)O)n2-c1ccc(C(C)(C)C)cc1,7.408935393,7.4459,483.486,4,4,1,4,5,60.69
CHEMBL197738,CCCc1c(OCC(C)COc2cccc3c2ccn3CC(=O)O)ccc2c(C(F)(F)F)noc12,5.886725308,5.9323,490.478,4,6,1,4,10,86.72
CHEMBL197823,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3cccc(S(C)(=O)=O)c3)c3ccc(Cl)nc32)cc1,6.694648631,5.8704,498.988,4,6,1,4,5,98.49
CHEMBL197848,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3cccnc32)cc1,7.124938737,6.8323,454.448,4,4,1,4,4,64.35
CHEMBL198091,CC(C)COc1ccc2c(c1)c(Oc1cccc(C(F)(F)F)c1)c(C(=O)O)n2-c1ccc(C(C)(C)C)cc1,7.744727495,8.4721,525.567,4,4,1,4,7,60.69
CHEMBL198266,CCOc1ccc2c(c1)c(Oc1cccc(C(F)(F)F)c1)c(C(=O)O)n2-c1ccc(C(C)(C)C)cc1,7.744727495,7.836,497.513,4,4,1,4,6,60.69
CHEMBL198269,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3cc(Oc4ccc[nH]4)ccc32)cc1,7.958607315,8.5577,534.534,5,4,2,5,6,76.48
CHEMBL198365,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3cccc(-c4cc(C(F)(F)F)c[nH]4)c3)c3ccc(Cl)nc32)cc1,7.236572006,8.4808,553.968,5,4,2,5,5,80.14
CHEMBL198493,COc1cccc(Oc2c(C(=O)O)n(-c3ccc(C(C)(C)C)cc3)c3nc(Cl)ccc23)c1,6.982966661,6.4755,450.922,4,5,1,4,5,73.58
CHEMBL198529,CCCc1c(OCCCOc2ccc3c(ccn3CC(=O)O)c2)ccc2c(-c3ccccc3)noc12,6.920818754,6.3345,484.552,5,6,1,5,11,86.72
CHEMBL198605,COc1ccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3ccccc32)cc1,6.93930216,6.1484,427.378,4,4,1,4,5,60.69
CHEMBL198623,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3ccc(Cl)nc32)cc1,7.677780705,7.4857,488.893,4,4,1,4,4,64.35
CHEMBL198786,CCCc1c(OCCCOc2cccc3c2ccn3CC(=O)O)ccc2cc(-c3ccccc3)[nH]c12,5.774949304,6.6746,482.58,5,4,2,5,11,76.48
CHEMBL198929,CCCc1c(OCCCOc2ccc3c(ccn3Cc3nn[nH]n3)c2)ccc2c(C(F)(F)F)noc12,5.949620244,5.1631,500.481,5,8,1,5,10,103.88
CHEMBL1990669,O=C1C=C(Nc2ccccc2C(=O)CC(=O)C(=O)Nc2ccc(Cl)c(Cl)c2)c2ccccc2C1=O,5.552841969,4.9924,507.329,3,6,2,4,7,109.41
CHEMBL199225,CC(Cc1ccccc1)(Oc1ccc(Cl)cc1)C(=O)O,5.408935393,3.8048,290.746,2,2,1,2,5,46.53
CHEMBL199244,CC(C)(C)c1ccc(-n2c(C(=O)O)c(Oc3cccc(C(F)(F)F)c3)c3cc(Oc4cc(Cl)c[nH]4)ccc32)cc1,8.698970004,9.2111,568.979,5,4,2,5,6,76.48
CHEMBL200495,CCCc1c(OCCCOc2ccc3c(ccn3CC(=O)O)c2)ccc2c(C(F)(F)F)noc12,6.818108795,5.6863,476.451,4,6,1,4,10,86.72
CHEMBL200952,CCCc1c(OCCCOc2cccc3c2ccn3CC(=O)O)ccc2cc[nH]c12,5.317945223,5.0076,406.482,4,4,2,4,10,76.48
CHEMBL201581,O=C(O)Cn1ccc2ccc(OCCCOc3ccc(C(=O)c4ccc(F)cc4)cc3)cc21,5.683805222,4.9439,447.462,4,5,1,4,10,77.76
CHEMBL202140,CCCc1cc(C(=O)c2ccc(F)cc2)ccc1OCCCOc1ccc2ccn(CC(=O)O)c2c1,5.8902106,5.8964,489.543,4,5,1,4,12,77.76
CHEMBL202240,O=C(O)Cn1ccc2cc(OCCCOc3ccc(C(=O)c4ccc(F)cc4)cc3)ccc21,6.671620397,4.9439,447.462,4,5,1,4,10,77.76
CHEMBL202246,CCCc1c(OCCCOc2ccc3ccn(CC(=O)O)c3c2)ccc2cc(C(=O)c3ccccc3)ccc12,5.693894645,6.9105,521.613,5,5,1,5,12,77.76
CHEMBL2024606,CCCCCS(=O)(=O)NC(=O)/C=C/c1ccc(OCCOC)cc1Oc1ncc(C(F)(F)F)cc1Cl,6.48148606,5.2207,550.983,2,7,1,2,13,103.82
CHEMBL202739,CC[C@@](C)(Cc1ccc(OCCCOc2ccc(C3CCC(C)(C)CC3)cc2Cl)cc1)C(=O)O,5.442492798,7.9151,487.08,2,3,1,3,11,55.76
CHEMBL2031856,COc1ccc(/C=C/c2cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c2)cc1,6.200659451,6.512,378.512,2,3,2,2,8,49.69
CHEMBL2031858,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2cccc(C(F)(F)F)c2)cc1O,6.27572413,7.5222,416.483,2,2,2,2,7,40.46
CHEMBL2031859,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccc(C#N)cc2)cc1O,5.920818754,6.37508,373.496,2,3,2,2,7,64.25
CHEMBL2031860,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccc(F)cc2)cc1O,5.634512015,6.6425,366.476,2,2,2,2,7,40.46
CHEMBL2031952,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2cc(F)cc(F)c2)cc1O,6.045757491,6.7816,384.466,2,2,2,2,7,40.46
CHEMBL2031953,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccc(Cl)cc2)cc1O,6.26760624,7.1568,382.931,2,2,2,2,7,40.46
CHEMBL2031954,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccc(C=O)cc2)cc1O,6.050609993,6.3159,376.496,2,3,2,2,8,57.53
CHEMBL2031955,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccc(O)cc2)cc1O,6.958607315,6.209,364.485,2,3,3,2,7,60.69
CHEMBL2031956,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccoc2)cc1O,6.187086643,6.0964,338.447,2,3,2,2,7,53.6
CHEMBL2031957,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccsc2)cc1O,5.995678626,6.5649,354.515,2,3,2,2,7,40.46
CHEMBL203621,CCC(C)(Cc1ccc(OCCCOc2ccc(Oc3ccc(F)cc3)cc2Cl)cc1)C(=O)O,5.906578315,7.1627,486.967,3,4,1,3,12,64.99
CHEMBL2036997,CCc1ccc(O[C@H](C)CCOc2ccc(CCC(=O)O)c(C)c2)c(Cc2ccccc2)c1,7.229000795,6.40182,446.587,3,3,1,3,12,55.76
CHEMBL2037003,CCc1ccc(O[C@H](C)CCOc2ccc(OC(C)(C)C(=O)O)cc2)c(C(=O)c2ccccc2)c1,8.221993539,5.9584,476.569,3,5,1,3,12,82.06
CHEMBL2037005,CCCC[C@@](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)cc1)(Oc1ccccc1)C(=O)O,5.649779126,6.90662,499.607,4,5,1,4,13,81.79
CHEMBL2037010,CCCc1cc(Oc2ccc(O)cc2)ccc1OCCCOc1cccc([C@@H]2SC(=O)NC2=O)c1,7.522951134,6.009,493.581,3,7,2,4,11,94.09
CHEMBL2037080,CCCO[C@H](Cc1ccc2c(ccn2Cc2nc(-c3ccc(C(F)(F)F)cc3)oc2C)c1)C(=O)O,6.399005336,6.09412,486.49,4,5,1,4,9,77.49
CHEMBL2037081,Cc1oc(-c2ccc(C(F)(F)F)cc2)nc1Cn1ccc2cc(C[C@@H](OC(C)C)C(=O)O)ccc21,6.8569852,6.09252,486.49,4,5,1,4,8,77.49
CHEMBL2037082,CCCc1cc(-c2ccccc2)ccc1OCCCOc1cccc([C@@H]2OC(=O)NC2=O)c1,6.34699986,5.4615,445.515,3,5,1,4,10,73.86
CHEMBL2037083,CCO[C@@H](Cc1cccc2c1ccn2Cc1nc(-c2ccccc2)oc1C)C(=O)O,5.8240014,4.68522,404.466,4,5,1,4,8,77.49
CHEMBL2037181,CCCc1cc(OC2CCCC2)ccc1OCCCOc1cccc([C@@H]2SC(=O)NC2=O)c1,7.201004266,5.8325,469.603,2,6,1,4,11,73.86
CHEMBL2037182,CCCc1cc(-c2noc3ccccc23)ccc1OCCCOc1cccc([C@@H]2SC(=O)NC2=O)c1,7.523023534,6.3193,502.592,4,7,1,5,10,90.66
CHEMBL2037184,CCCc1cc(C2CCCC2)ccc1OCCCOc1cccc([C@H]2OC(=O)NC2=O)c1,5.975001527,5.4521,437.536,2,5,1,4,10,73.86
CHEMBL204057,O=C(O)CCc1ccc(OCCCOc2ccc(Oc3ccc(F)cc3)cc2Cl)cc1,5.191114133,6.1365,444.886,3,4,1,3,11,64.99
CHEMBL2048021,O=C(O)Cn1c(SCCOc2ccc3ccccc3c2)nc2ccccc21,5.653060537,4.4452,378.453,4,5,1,4,7,64.35
CHEMBL205665,CC[C@@](C)(Cc1ccc(OCCCOc2ccccc2Cl)cc1)C(=O)O,6.070034718,5.2313,376.88,2,3,1,2,10,55.76
CHEMBL206794,CC(C)(Oc1ccc(OCCCOc2ccc(Oc3ccc(F)cc3)cc2Cl)cc1)C(=O)O,6.008247993,6.3613,474.912,3,5,1,3,11,74.22
CHEMBL2070239,CN(Cc1cccc(F)c1)C(=O)c1cnc(-c2ccc(S(C)(=O)=O)c([N+](=O)[O-])c2)s1,4.519993057,3.5331,449.485,3,7,0,3,6,110.48
CHEMBL207103,CCCc1c(OCCCNc2ccc(CC(=O)O)cc2)ccc2c(C(F)(F)F)noc12,6.991272113,5.3072,436.43,3,5,2,3,10,84.59
CHEMBL207442,CCCc1c(OCCCN(C)c2cccc(CC(=O)O)c2)ccc2c(C(F)(F)F)noc12,5.522919281,5.3315,450.457,3,5,1,3,10,75.8
CHEMBL207907,CCCc1c(OCCCn2ccc3cc(CCC(=O)O)ccc32)ccc2c(C(F)(F)F)noc12,5.920909241,6.2401,474.479,4,5,1,4,10,77.49
CHEMBL208472,O=S(=O)(Nc1cc(-c2cccs2)nn1-c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.643974143,6.5783,535.466,4,5,1,4,5,63.99
CHEMBL209546,CCOC(Cc1ccc2c(ccn2Cc2nc(-c3ccccc3)oc2C)c1)C(=O)O,6.749579998,4.68522,404.466,4,5,1,4,8,77.49
CHEMBL210163,CCOC(Cc1ccc2c(ccn2Cc2nc(-c3cc(Cl)cc(Cl)c3)oc2C)c1)C(=O)O,7.148741651,5.99202,473.356,4,5,1,4,8,77.49
CHEMBL210768,CCCc1c(OCCCOc2ccc(CC(=O)O)cc2Cl)ccc2c(C(F)(F)F)noc12,6.552893673,5.9275,471.859,3,5,1,3,10,81.79
CHEMBL210973,CCCc1c(OCCCOc2ccc(CC(=O)O)cc2)ccc2c(C(F)(F)F)noc12,6.568759572,5.2741,437.414,3,5,1,3,10,81.79
CHEMBL211371,CCOC(Cc1ccc2c(ccn2Cc2nc(-c3ccccc3C)oc2C)c1)C(=O)O,6.500312917,4.99364,418.493,4,5,1,4,8,77.49
CHEMBL211513,CCOC(Cc1ccc2c(ccn2Cc2nc(-c3cccc(Cl)c3)oc2C)c1)C(=O)O,7.619788758,5.33862,438.911,4,5,1,4,8,77.49
CHEMBL211839,CCOC(Cc1ccc2c(ccn2Cc2nc(-c3cc(OC)cc(OC)c3)oc2C)c1)C(=O)O,7.602059991,4.70242,464.518,4,7,1,4,10,95.95
CHEMBL212023,CCCC(CCOc1ccc(CCC(=O)O)c(C)c1)Oc1ccc(CC)cc1C(=O)c1ccccc1,6.379863945,6.82222,488.624,3,4,1,3,14,72.83
CHEMBL213314,CCc1ccc(OCCCOc2ccc(OC(C)(C)C(=O)O)cc2)c(C(=O)c2ccccc2)c1,7.42010213,5.5699,462.542,3,5,1,3,12,82.06
CHEMBL213315,Cc1cc(OCC[C@@H](C)Oc2ccc(C(F)(F)F)cc2Oc2ccccc2)ccc1CCC(=O)O,8.221921138,7.05972,488.502,3,4,1,3,11,64.99
CHEMBL213361,C[C@H](CCOc1ccc(CCC(=O)O)c(C(F)(F)F)c1)Oc1ccc(Cl)cc1Oc1ccccc1,7.214848191,7.4047,508.92,3,4,1,3,11,64.99
CHEMBL213487,CCOC(Cc1cccc2c1ccn2CCCc1nc(-c2ccccc2)oc1C)C(=O)O,6.562249437,5.26972,432.52,4,5,1,4,10,77.49
CHEMBL213602,CCOC(Cc1ccc2c(ccn2Cc2nc(-c3ccc(C(C)(C)C)cc3)oc2C)c1)C(=O)O,7.823908741,5.98272,460.574,4,5,1,4,8,77.49
CHEMBL213675,CCOC(Cc1ccc2c(ccn2Cc2nc(-c3ccc(C(F)(F)F)cc3)oc2C)c1)C(=O)O,6.493494968,5.70402,472.463,4,5,1,4,8,77.49
CHEMBL213678,CCOC(Cc1ccc2c(ccn2Cc2nc(-c3ccc(CC)cc3)oc2C)c1)C(=O)O,7.568636236,5.24762,432.52,4,5,1,4,9,77.49
CHEMBL213902,COC(Cc1ccc2c(ccn2Cc2nc(-c3ccccc3)oc2C)c1)C(=O)O,6.49757288,4.29512,390.439,4,5,1,4,7,77.49
CHEMBL214026,Cc1cc(OCC[C@@H](C)Oc2ccc(Cl)cc2Oc2ccccc2)ccc1CCC(=O)O,7.823908741,6.69432,454.95,3,4,1,3,11,64.99
CHEMBL214921,Cc1cc(OCC[C@@H](C)Oc2ccc(OC(F)(F)F)cc2Oc2ccccc2)ccc1CCC(=O)O,8.221921138,6.93952,504.501,3,5,1,3,12,74.22
CHEMBL215126,CCc1ccc(O[C@@H](C)CCOc2ccc(CCC(=O)O)c(C)c2)c(C(=O)c2ccccc2)c1,5.946921557,6.04202,460.57,3,4,1,3,12,72.83
CHEMBL215127,CCc1ccc(OC(CC)CCOc2ccc(CCC(=O)O)c(C)c2)c(C(=O)c2ccccc2)c1,7.744727495,6.43212,474.597,3,4,1,3,13,72.83
CHEMBL215245,C[C@H](CCOc1ccc(CCC(=O)O)c(F)c1)Oc1ccc(Cl)cc1Oc1ccccc1,7.200831824,6.525,458.913,3,4,1,3,11,64.99
CHEMBL215701,CCc1cc(OCC[C@@H](C)Oc2ccc(Cl)cc2Oc2ccccc2)ccc1CCC(=O)O,7.721132126,6.9483,468.977,3,4,1,3,12,64.99
CHEMBL217962,COc1ccc(-c2c(C(=O)NS(=O)(=O)c3ccccc3C)n(Cc3cccc(C(F)(F)F)c3)c3ccccc23)cc1,8.15490196,6.81112,578.612,5,5,1,5,7,77.4
CHEMBL218175,O=C(NS(=O)(=O)c1ccc(F)cc1)c1cc2ccccc2n1Cc1cccc(C(F)(F)F)c1,6.142667504,4.9662,476.451,4,4,1,4,5,68.17
CHEMBL218176,O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1cc2ccccc2n1Cc1cccc(C(F)(F)F)c1,6.552841969,5.4805,492.906,4,4,1,4,5,68.17
CHEMBL218230,O=C(NS(=O)(=O)c1cccc(C(F)(F)F)c1)c1cc2cc(Cl)ccc2n1Cc1cccc(C(F)(F)F)c1,6.48148606,6.4993,560.903,4,4,1,4,5,68.17
CHEMBL218231,COc1ccc(-c2c(C(=O)NS(=O)(=O)c3ccc(F)cc3)n(Cc3cccc(C(F)(F)F)c3)c3ccccc23)cc1,8.15490196,6.6418,582.575,5,5,1,5,7,77.4
CHEMBL218258,COC(=O)c1ccccc1S(=O)(=O)NC(=O)c1c(-c2ccc(OC)cc2)c2ccccc2n1Cc1cccc(C(F)(F)F)c1,9,6.2893,622.621,5,7,1,5,8,103.7
CHEMBL218789,O=C(NS(=O)(=O)c1cccc(C(F)(F)F)c1)c1cc2ccccc2n1Cc1cccc(OCc2ccccc2)c1,7.301029996,6.4061,564.585,5,5,1,5,8,77.4
CHEMBL218841,CC(C)(C)c1ccc(Cn2c(C(=O)NS(=O)(=O)c3cccc(C(F)(F)F)c3)cc3ccccc32)cc1,6.48148606,6.1246,514.569,4,4,1,4,5,68.17
CHEMBL219773,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CCC(=O)O)c(CNS(=O)(=O)Cc2ccccc2)c1,7.142667504,4.90832,534.634,4,6,2,4,13,118.73
